name,price,search Date,price numeric,company,product type,area
"Revestimento ""A"" 45x120 Arca Nordic Graffi Mate Ret 210464E Portobello","R$ 202,31 m² à vista",2026-02-18,202.31,Portobello,Mate,45x120
"Porcelanato Polido Eliane Place ""A"" 60x120","R$ 117,90 m² à vista",2026-02-18,117.9,Eliane,Polido,60x120
"Porcelanato Portobello Chiaro Di Versilia Polido Retificado ""A"" 90x90","R$ 123,27 m² à vista",2026-02-18,123.27,Portobello,Polido,90x90
"Revestimento Mate Portobello Vivant Magenta ""A"" 7x24,4cm","R$ 534,97 m² à vista",2026-02-18,534.97,Portobello,Mate,7x24.4
"Porcelanato ""A"" 90x90 Oasi Duna Externo Retificado 209521E Portobello","R$ 139,94 m² à vista",2026-02-18,139.94,Portobello,Externo,90x90
Porcelanato Acetinado Eliane Pulpis Gray 60x120cm,"R$ 83,11 m² à vista",2026-02-18,83.11,Eliane,Acetinado,60x120
"Porcelanato Acetinado Eliane Munari Cimento ""A"" 120x120cm","R$ 135,90 m² à vista",2026-02-18,135.9,Eliane,Acetinado,120x120
"Porcelanato Externo Eliane Iseo Grigio ""A"" 90x90cm Retificado","R$ 101,62 m² à vista",2026-02-18,101.62,Eliane,Externo,90x90
"Porcelanato Polido Eliane Onix Cristal Retificado ""A"" 60x120cm","R$ 91,61 m² à vista",2026-02-18,91.61,Eliane,Polido,60x120
"Porcelanato Acetinado Portinari York Be ""A"" 87,7x87,7cm Retificado","R$ 111,90 m² à vista",2026-02-18,111.9,Portinari,Acetinado,87.7x87.7
"Porcelanato Natural Portobello Oasi Duna Retificado ""A"" 90x90cm","R$ 167,90 m² à vista",2026-02-18,167.9,Portobello,Natural,90x90
"Porcelanato Polido Eliane Pulpis Gray ""A"" 60x120","R$ 110,89 m² à vista",2026-02-18,110.89,Eliane,Polido,60x120
"Porcelanato Externo Eliane Munari Cimento ""A"" 90x90cm Retificado","R$ 84,90 m² à vista",2026-02-18,84.9,Eliane,Externo,90x90
"Porcelanato Portobello Arca Tropical ST Natural Retificado ""A"" 20x120","R$ 139,01 m² à vista",2026-02-18,139.01,Portobello,Natural,20x120
"Porcelanato Acetinado Eliane Sensi Off White 3D ""A"" 90x90cm Retificado","R$ 113,72 m² à vista",2026-02-18,113.72,Eliane,Acetinado,90x90
"Porcelanato Acetinado Eliane Onix Cristal ""A"" 60x120cm Retificado","R$ 92,90 m² à vista",2026-02-18,92.9,Eliane,Acetinado,60x120
"Porcelanato Natural Portobello Betula Natural ""A"" 20x120cm Retificado","R$ 86,30 m² à vista",2026-02-18,86.3,Portobello,Natural,20x120
"Porcelanato Natural Portinari Tavola Decor Be ""A"" 58,4x58,4cm","R$ 182,90 m² à vista",2026-02-18,182.9,Portinari,Natural,58.4x58.4
"Porcelanato Acetinado Eliane Mahal Cristal ""A"" 60x120cm Retificado","R$ 112,85 m² à vista",2026-02-18,112.85,Eliane,Acetinado,60x120
"Revestimento Matte Portobello Yorkshire Light Assim (29x39) ""A"" 7x26","R$ 117,62 m² à vista",2026-02-18,117.62,Portobello,Mate,29x39
"Porcelanato ""A"" 90x90 Nord Cement Externo Retificado 209535E Portobello","R$ 96,03 m² à vista",2026-02-18,96.03,Portobello,Externo,90x90
"Porcelanato Natural Portobello Moonlight Off White Retificado ""A"" 90x90cm","R$ 164,90 m² à vista",2026-02-18,164.9,Portobello,Natural,90x90
"Porcelanato Acetinado Eliane Khali Off White ""A"" 120x120cm","R$ 122,42 m² à vista",2026-02-18,122.42,Eliane,Acetinado,120x120
"Porcelanato Natural Portobello Space Grey ""A"" 80x80cm Retificado","R$ 89,90 m² à vista",2026-02-18,89.9,Portobello,Natural,80x80
"Porcelanato Externo Eliane Reserva ""A"" 19,7x120cm Retificado","R$ 81,68 m² à vista",2026-02-18,81.68,Eliane,Externo,19.7x120
"Revestimento Matt Portobello Wall Mosaic Decor Canela Ripado ""A"" 30x90","R$ 136,61 m² à vista",2026-02-18,136.61,Portobello,Desconhecido,30x90
"Porcelanato Polido Eliane Mont Blanc ""A"" 90x90cm Retificado","R$ 109,90 m² à vista",2026-02-18,109.9,Eliane,Polido,90x90
"Porcelanato ""A"" 30x120 Violin Decor BW Matte 6062253A Portinari","R$ 208,90 m² à vista",2026-02-18,208.9,Portinari,Mate,30x120
"Porcelanato Acetinado Eliane Tanzania Canela ""A"" 19,7x120cm","R$ 121,90 m² à vista",2026-02-18,121.9,Eliane,Acetinado,19.7x120
